ratings;displayName;brand.displayName
{'average': 4.7, 'total': 0};McDonald's, Yogyakarta-Kaliurang;McDonald's
{'average': 4.8, 'total': 0};Ayam Mampus, Jalan Bener;ayam mampus, Marwati
{'average': 4.8, 'total': 0};Olive Fried Chicken, Gang Wuni;Olive Fried Chicken
{'average': 4.5, 'total': 0};Kebab Container by Baba Rafi, SPBU Godean KM 5;Container Kebab by Baba Rafi General
{'average': 4.7, 'total': 0};Waroeng Steak and Shake, Pandega;Waroeng Steak and Shake
{'average': 4.7, 'total': 0};Duta Minang Family, Kaliurang;Duta Minang YK
{'average': 4.7, 'total': 0};Pukis & Martabak Kota Baru, Kaliurang Yogyakarta;Pukis & Martabak Kota Baru
{'average': 4.8, 'total': 0};Kopi Kenangan, RSUP Dr Sardjito Yogyakarta;Kopi Kenangan
{'average': 4.5, 'total': 0};ESQUE JAKAL 1;ESQUE
{'average': 4.7, 'total': 0};WARMINDO & BURJO HIKAYAH 2, Jl. Kaliurang, GandokTambakan;Burjo Hikayah2 Gandokan, RIVALDY
{'average': 4.2, 'total': 0};Kuki Bakery, Kaliurang;Kuki Bakery
{'average': 4.8, 'total': 0};Ayam Geprek Ngekost, Ngaglik;Ayam Geprek Ngekost
{'average': 4.7, 'total': 0};Mixue, Jakal;Mixue Maranatha Surya Sumantri
{'average': 4.8, 'total': 0};Kangen Omah, Jl. Magelang;Kangen Omah
{'average': 4.8, 'total': 0};Chicken Crush, Godean;Chicken Crush Yogyakarta
{'average': 4.7, 'total': 0};Mixue Kaliurang, UGM;Mixue Kaliurang, UGM, IRENE INDRIANI BOEDI SOEWANOTO
{'average': 4.5, 'total': 0};Warung Penyetan Bu Wid, Sumilir;Warung Penyetan Bu Wid
{'average': 4.7, 'total': 0};Nasi Goreng Kedai Mapela, Bener;Kedai Mapela
{'average': 4.7, 'total': 0};Roti'O, Kios Kaliurang Yogyakarta;Roti'O General
{'average': 4.6, 'total': 0};Gudeg Yu Djum, Kaliurang;Gudeg Yu Djum, Kaliurang
{'average': 4.8, 'total': 0};Baleroso Gurame Bakar, Godean;Bale Roso
{'average': 4.5, 'total': 0};PADANG MURAH GENTAN, Jl. Kaliurang Km 9 Yogyakarta;Rumah Makan Padang Murah, Rizkiyan
{'average': 4.7, 'total': 0};Waroeng Spesial Sambal SS Express, Megatruh;Waroeng Spesial Sambal (SS)
{'average': 4.6, 'total': 0};Ayam Taliwang Pak Wono, Banteng 3;Ayam Taliwang Pak Wono
{'average': 4.8, 'total': 0};Mixue, Godean;Mixue Maranatha Surya Sumantri
{'average': 4.8, 'total': 0};Treat, Jakal;Treat Cafe & Resto
{'average': 4.8, 'total': 0};Olive Fried Chicken Take Away, Sentul;Olive Fried Chicken
{'average': 4.8, 'total': 0};RM Padang Asli Chaniago, Sidoarum;RM Padang Asli Chaniago Sidoarum
{'average': 4.8, 'total': 0};Ayam Goreng Katsu dan Thai Tea Zamitsa Kitchen;TieTie Thai Tea
{'average': 4.5, 'total': 0};Ayam Geprek dan Kremes Warunk Idola, Sendowo;Ayam Geprek dan Kremes Warunk Idola
{'average': 4.7, 'total': 0};Morgans Kebab Godean, Jl. Ngapak - Kentheng No.3;MORGANS KEBAB, SETURAN, MUH. DAROJATUN KUNCORO SAKTI
{'average': 4.7, 'total': 0};Rocket Chicken, Godean Km 10;Rocket Chicken General
{'average': 4.6, 'total': 0};AB Oriental Streetfood, Cokrodiningratan;AB Oriental Streetfood, Condongcatur, Bima Brian Arga
{'average': 4.7, 'total': 0};Sun Rice Bowl, Cokrodiningratan;Sun Rice Bowl, Klebengan
{'average': 4.7, 'total': 0};Rumah Makan Padang Tanjuang, Tegalrejo;Rumah Makan Padang Tanjuang Tegalrejo
{'average': 4.6, 'total': 0};Bobakar, Jakal 1;Bobakar Indonesia, Famila Kirana
{'average': 4.7, 'total': 0};Seblak Bageur Bandung, Depok;Seblak Bageur Bandung
{'average': 4.7, 'total': 0};Yamie Panda, Megatruh;Yamie Panda Migrate
{'average': 4.3, 'total': 0};Fordo Coffee Lab Co., Jl. Magelang;Fordo Coffe & Roastery, Karangwaru Kidul, Tegalrejo, Vania Jovita Gunawan
{'average': 4.7, 'total': 0};Olive Fried Chicken, Godean Take Way;Olive Fried Chicken
{'average': 4.7, 'total': 0};Rocket Chicken, Bangunkerto;Rocket Chicken - Agung Kurniawan
{'average': 4.8, 'total': 0};Penyetan Mas Kobis, Kaliurang;Penyetan Mas Kobis
{'average': 4.6, 'total': 0};Gudeg Mbarek Bu Hj. Amad, Agro;Gudeg Mbarek Bu Hj. Amad
{'average': 4.6, 'total': 0};Lotek &Gado-Gado Colombo Bu Ary, Godean;Lotek & Gado - Gado Colombo Bu Ary, Yk
{'average': 4.8, 'total': 0};Gemati Cafe + Space, Sidomukti;Gumati Coffee, Bima Mahardhika
{'average': 4.8, 'total': 0};Penyetan Wong Ndeso Mas Dzaki, Harjobinangun;Penyetan Wong Ndeso Mas Dzaki
{'average': 4.6, 'total': 0};Sei Sapi Bone;Sei Sapi Bone, Tan, Yulianawati
{'average': 4.6, 'total': 0};Pempek Ny. Kamto, Godean;Pempek Ny. Kamto
{'average': 4.8, 'total': 0};Chatime, Mirota Kampus Godean;Chatime
{'average': 4.7, 'total': 0};Olive Fried Chicken, Tempel;Olive Fried Chicken
{'average': 4.6, 'total': 0};Gudeg Yu Djum, Mbarek;Gudeg Yu Djum, Mbarek
{'average': 4.8, 'total': 0};Fore Coffee, Godean;Fore Coffee
{'average': 4.7, 'total': 0};KABOBS - Premium Kebab, Godean;Kabobs - Premium Kebab
{'average': 4.6, 'total': 0};Ayam Rempah Mas Bangkit, Tegalrejo;YN Frozen Food,Ayam Rempah,Ayam Geprek, Siti Sakinah
{'average': 4.2, 'total': 0};Kedai Celine, Tegalrejo;Kedai Celine
{'average': 4.7, 'total': 0};RM Padang Sabana Murah 3, Depok;RM Padang Sabana Murah 3
{'average': 4.7, 'total': 0};Kalis Donuts & Coffee, Godean;Kalis Donuts
{'average': 4.7, 'total': 0};Donat Maryam, Blunyah Rejo;Maryam Donuts, Kartika sari
{'average': 4.7, 'total': 0};Preksu (Ayam Geprek & Susu), Kyai Mojo;Preksu (Ayam Geprek dan Susu)
{'average': 4.8, 'total': 0};Olive Fried Chicken, Jago 1;Olive Fried Chicken
{'average': 4.8, 'total': 0};28 Coffee, Godean;28 Coffee
{'average': 4.7, 'total': 0};Hebit, Belimbing;Hebit, Condongcatur
{'average': 4.8, 'total': 0};Nasi Kulit Srundeng, Senolowo;Bakso Bakar Sosis Bakar Pak Diko
{'average': 4.7, 'total': 0};Panties Pizza, Soragan;Panties Pizza (Icha)
{'average': 4.7, 'total': 0};Rocket Chicken, Titibumi;Rocket Chicken, ISMAIL MARZUKI, SE.
{'average': 4.5, 'total': 0};Ayam Bakar Kremes Pak Yanto, Manunggal;Ayam Bakar Madu Ayumi Bangunrejo, Gandi Novenda Brani
{'average': 4.7, 'total': 0};Belikopi, Tegalrejo;Belikopi. Gresik, Fariz Julinar Maurisal SE
{'average': 4.5, 'total': 0};Ayam Geprek Mamoka;Ayam Geprek Mamoka, Anselmus Wau
{'average': 4.5, 'total': 0};Pizza Hut Delivery - PHD, Godean Yogyakarta;Pizza Hut Delivery - PHD
{'average': 4.5, 'total': 0};RM Padang Pergaulan, Naga;Es Buah Hantam Saja
{'average': 4.7, 'total': 0};HokBen Kitchen, Godean Jogjakarta;HokBen
{'average': 4.6, 'total': 0};Domino's Pizza, Godean;Domino's Pizza
{'average': 4.6, 'total': 0};Ayam Bakar Dan Goreng Bu Nur - Jalan Sadewa 27, Condong Catur Depok Sleman.;Aneka Pepes - Jalan Sadewa 27, Condong Catur Depok Sleman., Nur Hasanah
{'average': 4.8, 'total': 0};Omah Abah, Gambuh Raya;Omah Abah
{'average': 4.7, 'total': 0};Mentai & Kebab Laperpa, Condongcatur;Mentai & Kebab Laperpa, Lempongsari Raya
{'average': 4.8, 'total': 0};Ayam Bakar Dapur MamMel;Ayam Bakar Dapur MamMel, Lakon Susanto
{'average': 4.8, 'total': 0};Crisbar Kitchen, Kocoran;Crisbar Kitchen
{'average': 4.8, 'total': 0};Warung Gajebo Aa' Nana Mpok Lela, Lare Angon;Warung Gajebo Aa' Nana Mpok Lela
{'average': 4.7, 'total': 0};Nasi Goreng Tuna Den Bagoes Jogja;Nasi Goreng Tuna Den Bagoes Jogja, Yuli Windriati
{'average': 4.8, 'total': 0};Sayfresh Kitchen, Condong Catur;Sayfresh Kitchen, Condong Catur, William Ardiyanto
{'average': 4.6, 'total': 0};Warung GANAS (Gudang Nasi Goreng);Warung GANAS (Gudang Nasi Goreng)
{'average': 4.8, 'total': 0};Teras, Minomartani;Penyetan & Rice Bowl Plosokuning ll, Siti Rochimatun
{'average': 4.8, 'total': 0};Rumah Makan Padang Buyung Upik, Kaliurang;Rumah Makan Padang Buyung Upik, Kaliurang
{'average': 4.5, 'total': 0};Sup Buah Dan Jus Pak Tupar, Mlati;Buah Kita Kios Pak Tupar
{'average': 4.6, 'total': 0};Seafood 99, Soragan;Seafood 99 - Supriyono
{'average': 4.6, 'total': 0};Nasi Goreng Kambing Dan Sapi Mr Ujang, Kaliurang Km.10;Nasi Goreng Mr Ujang
{'average': 4.7, 'total': 0};GEPREK AbidKu, Jetis;Rice Bowl Kuy, Taman Siswa, Kunta Ariananda
{'average': 4.6, 'total': 0};Sushi Yay, Bantul Yogya;Sushi Yay!
{'average': 4.7, 'total': 0};Jatinangor House, Condong Catur;Jatinangor House
{'average': 4.5, 'total': 0};Hoop Coffee;Hoop Coffee, Nanda Miftah Al Faiz
{'average': 4.7, 'total': 0};Sambel Colek, Karanggayam;Sambel Colek
{'average': 4.5, 'total': 0};Penyetan Mas Kobis, Tugu;Penyetan Mas Kobis - Dimas Daru
{'average': 4.8, 'total': 0};Lapak Chicken, Banyu;Lapak Chicken
{'average': 4.6, 'total': 0};Spesial Ayam GBK, Depok;Spesial Ayam GBK, Nazila Chiladati Rohmaniyati
{'average': 4.6, 'total': 0};Hola Jus (#1 Healthy Juice & Smoothies), Jetis Pasiraman;Hola Jus
{'average': 4.7, 'total': 0};KopiGo Coffee (#1 Healthy Kopi Buah), Jetis;KopiGO Coffee
{'average': 4.7, 'total': 0};Krisbar Susi Krispi Bakar dan Susu Sirup, Klebengan;Krisbar Susi Krispi Bakar dan Susu Sirup
{'average': 4.7, 'total': 0};Salad MOI (#1 Healthy Salad Buah), Tugu;Salad Moi
{'average': 4.8, 'total': 0};Sego Kulit Pak Sabar;Sego Kulit Pak Sabar, Syaza Mutia Kamila
{'average': 4.2, 'total': 0};Pecel Lele dan Ayam Kremes Bu Darmi, Jetis;M&E Penyetan Ayam Spesial Bakso Ceker Mercon
{'average': 4.7, 'total': 0};Mantra Liquor Kranggan, Jln Kranggan No. 79;Mantra Liquor , SWASTANTO WAHYU NUGROHO,PH.
{'average': 4.7, 'total': 0};Burjo Motekar 19, Manggis;Burjo Motekar
{'average': 4.7, 'total': 0};Padang Ar-Razzaaq, Klebengan;RM Padang AR-RAZZAAQ
{'average': 4.5, 'total': 0};Tengkleng Gajah, Kaliurang;Tengkleng Gajah, Kaliurang
{'average': 4.5, 'total': 0};Bubur Ayam Bandung Az Zahra, Gondokusuman;Bubur Ayam Bandung Az Zahra
{'average': 4.6, 'total': 0};Warmindo Elephant, Kumpul Kuliner;Warmindo Elephant
{'average': 4.7, 'total': 0};Gudeg Mbak Pirang by Bu Mardjo, Depok;Gudeg Mbak Pirang by Bu Mardjo
{'average': 4.6, 'total': 0};Mooi Donat, Kaliurang;Mooi Donat
{'average': 4.8, 'total': 0};Luwe Ricebowl, DR. Sardjito;Luwe Ricebowl, Steven Mario Handoko
{'average': 4.7, 'total': 0};Pecel 57, Cokroaminoto;Pecel 57
{'average': 4.4, 'total': 0};Martabak Pak Ali, Klebengan;Martabak Pak Ali Yk
{'average': 4.8, 'total': 0};Warung Naskuter, Terban;Warung Naskuter
{'average': 4.7, 'total': 0};Makaroni Ngehe, Klebengan;Makaroni Ngehe General
{'average': 4.6, 'total': 0};Seblak Teh Isum, Terban;Seblak Teh Isum
{'average': 4.7, 'total': 0};KFC, UGM Mirota Yogyakarta;KFC
{'average': 4.5, 'total': 0};Kedai Rujak Lotis Yetty, Sumberan;Rujak Es Krim Yetty, Kragilan
{'average': 4.7, 'total': 0};Rocket Chicken, Tempel;Rocket Chicken, Sleman
{'average': 4.6, 'total': 0};Warmindo Panorama, Anggajaya 2;Warmindo Panorama
{'average': 4.6, 'total': 0};Yammie Kranggan;Yammie Kranggan
{'average': 4.4, 'total': 0};La Capila, Condong Catur;La Capila
{'average': 4.5, 'total': 0};MARTABAK LBS PUTRA, Gondokusuman;Martabak Telur & Terang Bulan Rizky Sardjito, Aurea Kressenka Lembon
{'average': 4.6, 'total': 0};Seafood 99, Anggajaya;Seafood 99 - Supriyono
{'average': 4.6, 'total': 0};Salad Nyoo (Pelopor #1 Salad Buah Indonesia), Tugu Jogja;Salad Nyoo
{'average': 4.5, 'total': 0};Mega Sop&Soto;Mega Sop&Soto, Mega Novitasari
{'average': 4.7, 'total': 0};Chatime, Mirota Kampus Yogyakarta;Chatime
{'average': 4.5, 'total': 0};Mixue, Cokro Jogja;Mixue, Cokro Jogja, CV Selaras Abadi Wijaya
{'average': 4.7, 'total': 0};Penyetan Enca;Penyetan Enca, Triyamsih
{'average': 4.6, 'total': 0};Juprek (Jus & Ayam Geprek), Kranggan;Juprek (Jus & Ayam Geprek)
{'average': 4.7, 'total': 0};Ayam Geprek Bu Rum, Lembah UGM;Ayam Geprek Bu Rum
{'average': 4.6, 'total': 0};Tahu Tek, Rujak Cingur, Nasi Campur,Pecel & Rawon, Ayo Rek, Lembah UGM;Warung Ayo Rek
{'average': 4.6, 'total': 0};Ayam Geprek & Penyetan Ayo Rek, Lembah UGM;Ayam Geprek dan Penyet Ayo Rek, Lembah UGM, Rilo Lazuardi
{'average': 4.7, 'total': 0};Burger King, Diponegoro;Burger King
{'average': 4.7, 'total': 0};PREKSU (Ayam Geprek & Susu), Deresan;Preksu (Ayam Geprek dan Susu)
{'average': 4.8, 'total': 0};Ikan Goreng Kudapan Kasuari Bu YANI, Masakan Nusantara Lembah UGM;Kudapan Kasuari Bu Yani Masakan Manado
{'average': 4.8, 'total': 0};Kupiku Coffee, Condong Catur;Kupiku Coffee
{'average': 4.5, 'total': 0};Ayam Goreng Kuning Cak Gembong, Depok;Ayam Goreng Kuning Cak Gembong
{'average': 4.6, 'total': 0};Sugoi Ramen Express;Sugoi Ramen Express, Sri Suprapti Mulyani
{'average': 4.8, 'total': 0};Es Teh Indonesia, Condongcatur;Es Teh Indonesia General
{'average': 4.3, 'total': 0};Amanda Brownies, Diponegoro;Amanda Brownies General
{'average': 4.6, 'total': 0};Roti Gembong Golden, Anggajaya;Roti Gembong Golden
{'average': 4.6, 'total': 0};Lotek & Gado-Gado Bu Bagyo, Anggajaya;Lotek & Gado - Gado Bu Bagyo
{'average': 4.7, 'total': 0};Karen Chicken by Olive, Soragan;Karen Chicken
{'average': 4.8, 'total': 0};Ayam Rempah Raja Rasa Spesial Bumbu Rempah, Pangeran Diponegoro;RAJA RASA, Andy Wijaya
{'average': 4.7, 'total': 0};Soto Dan Sop Iga Halim;Soto Dan Sop Iga Halim, Nur Khasanah
{'average': 4.6, 'total': 0};Bakso Pak Narto, Condongcatur;Bakso Pak Narto, FAJAR AYU FATMAWATI, S.Pd
{'average': 4.7, 'total': 0};Olive Fried Chicken, Turi;Olive Fried Chicken
{'average': 4.6, 'total': 0};Mixue, Tugu Jogja;Mixue Maranatha Surya Sumantri
{'average': 4.7, 'total': 0};Warung AD, Bumijo;Warung AD, Bumijo
{'average': 4.7, 'total': 0};Nomojowo, Pasar Kranggan;Nomojowo, Karangwaru, Lausina Prihastuti
{'average': 4.6, 'total': 0};Padang Munggur, Kaliurang;Padang Munggur
{'average': 4.3, 'total': 0};Geprek & Ayam Goreng TOEGOE, Gowongan;Ayam Toegoe, Eko Setiawan
{'average': 4.5, 'total': 0};ESQUE GEJAYAN;ESQUE
{'average': 4.6, 'total': 0};Mie Ayam Santika, Kuliner Lor Tugu;Mie Ayam Santika
{'average': 4.5, 'total': 0};Sate Madura Cak Isal, Cokrokusuman;Sate Madura Cak Isal, Cokrokusuman
{'average': 4.1, 'total': 0};Yeobo Topokki Tugu Jogja, JL.A.M Sangaji No.5, Gowongan;Yeobo Topokki Pakansari, JL. Alternatif Gor Pemda, Silvi Oktavianti Sompotan
{'average': 4.5, 'total': 0};Tanoshi, Tugu Jogja;Tasty Taichan And Meals
{'average': 4.8, 'total': 0};Waroeng Yanto, Jakal;Waroeng Makan Yanto, Jakal
{'average': 4.7, 'total': 0};Tahu Walik Eko;Tahu Walik Eko, Derry Rantanu
{'average': 4.7, 'total': 0};Mie Ayam Palembang Afui, Jakal KM 11;Mie Ayam Palembang Afui
{'average': 4.6, 'total': 0};Rumah Makan & Seafood 99, Anggajaya;Rumah Makan & Seafood 99 Migrate
{'average': 4.7, 'total': 0};RM Padang Buyung Upik, Affandi;RM Padang Buyung Upik
{'average': 4.6, 'total': 0};Rocket Chicken, Anggajaya 2;Rocket Chicken General
{'average': 4.7, 'total': 0};Ayam Mertua, UGM;Cheesy Pie
{'average': 4.6, 'total': 0};Tahu Gimbal Pak Yono, Tentara Pelajar;Tahu Gimbal Pak Yono Yk
{'average': 4.6, 'total': 0};Seblak Pasta, Deresan;Seblak Pasta
{'average': 4.8, 'total': 0};Olive Fried Chicken, Concat;Olive Fried Chicken
{'average': 4.7, 'total': 0};Ateeya, Anggajaya 2;Rumah Kuliner Ateeya
{'average': 4.7, 'total': 0};Ayam Panggang Sunmor, Anggajaya;Ayam Panggang Sunmor
{'average': 4.7, 'total': 0};Bakpia Bakpiaku, Tugu Jogja;Bakpiaku
{'average': 4.7, 'total': 0};Pratama Seafood & Chinesefood, Affandi;Pratama Seafood & Chinesefood
{'average': 4, 'total': 0};Korean Cake Roti Ulang tahun, Kanoman Banyuraden Gamping;Alinet Cake And Food, Neng Titoh Siti Hapsoh
{'average': 4.7, 'total': 0};Butter Hour, Bumijo;Butter Hour, Bumijo, Silvia Adriana Shiddiqah Suparyaman
{'average': 4.7, 'total': 0};Baso Aci Ena, Caturtunggal;Bakso Aci Ena Yk
{'average': 4.6, 'total': 0};Okene Coffee, Casakita;Okene Coffee, Casakita, Ganis Santosa
{'average': 4.7, 'total': 0};Bebek Goreng H. Slamet, Gejayan;Bebek Goreng H.Slamet Jogja
{'average': 4.7, 'total': 0};Holland Bakery, Gejayan;Holland Bakery
{'average': 4.6, 'total': 0};Mie Gacoan Gejayan, Yogyakarta;Mie Gacoan
{'average': 4.5, 'total': 0};Gudeg Yu Narni, Margo Utomo;Gudeg Yu Narni - Diah Kusuma Wardani
{'average': 4.7, 'total': 0};Nasi Padang Minang, Jetis;RM Minang - Rahmi Isnaini
{'average': 4.6, 'total': 0};Sate Kambing Pak Manto Solo, Gejayan;Sate Kambing Pak Manto
{'average': 4.6, 'total': 0};Sop Ayam Pak Min Klaten;Sop Ayam Pak Min Klaten, Dwi Hari Kuncoro
{'average': 4.6, 'total': 0};Panties Pizza, Gejayan;Panties Pizza Yogyakarta
{'average': 4.8, 'total': 0};Papiti Milk & Food, Depok;Papiti Milk & Food
{'average': 4.5, 'total': 0};Bakso Dan Mie Ayam Kimochi;Bakso Dan Mie Ayam Kimochi, Danang Puji Rahayu
{'average': 4.6, 'total': 0};Gado-Gado & Ketoprak Nyah Seger, Jetis;Gado-Gado & Ketoprak Nyah Seger, Go Ay Ling
{'average': 4.7, 'total': 0};Waroeng Steak and Shake, Gejayan;Waroeng Steak and Shake
{'average': 4.6, 'total': 0};Warmindo Rejeki 3, Tentara Pelajar;Warmindo Rejeki 3
{'average': 4.7, 'total': 0};Salad Bunda Fresh And Healthy, Depok;Salad Bunda Fresh and Healthy
{'average': 4.7, 'total': 0};Geprek Katzu Ayam Goreng Panda, Kasihan;Panda Catering
{'average': 4.5, 'total': 0};Mendoan Ngapakzzz;Mendoan Ngapakzzz, Arifian Prafidianto
{'average': 4.7, 'total': 0};Masakan Padang Duta Minang, Sudirman;Duta Minang YK
{'average': 4.6, 'total': 0};Ombein, Soropadan;Ombein Soropadan
{'average': 4.6, 'total': 0};Joy Kitchen Indonesia - Kopi Tugas Akhir, Gejayan;Joy Kitchen Indonesia, Okkie Putriani
{'average': 4.7, 'total': 0};Se'i Sapi Kana, Bougenville;Se'i Sapi Kana
{'average': 4.8, 'total': 0};Sop Buntut & Ayam Goreng Cokro, Tegalrejo;Sop Buntut & Ayam Goreng Cokro, Tegalrejo
{'average': 4.8, 'total': 0};Onoki Mentai, Depok;Onoki Mentai, Depok
{'average': 4.7, 'total': 0};Waroeng Spesial Sambal SS, Condong Catur Timur;Waroeng Spesial Sambal (SS)
{'average': 4.8, 'total': 0};Kopi Kenangan, Wisma Hartono;Kopi Kenangan
{'average': 4.3, 'total': 0};The Harvest Cakes, Yogyakarta;The Harvest Cakes
{'average': 4.6, 'total': 0};Warung Penyetan Bu Wid, Karangmalang;Warung Penyetan Bu Wid
{'average': 4.7, 'total': 0};Seblak Bloom UNY, Karangmalang;Seblak Bloom UNY
{'average': 4.8, 'total': 0};Bumbu Desa (Timbel, Sego Bakar & Sego Lipet), Kartini;Bumbu Desa
{'average': 4.7, 'total': 0};Maow Makan, Gejayan;Maow Makan Gejayan, Depok, Condongcatur, Gejayan, Nicholas Harseno Lukita
{'average': 4.7, 'total': 0};KFC, BDNI Sudirman Yogyakarta;KFC
{'average': 4.7, 'total': 0};Omjins Penyetan dan Geprek, Asem Gede;Omjins Penyetan dan Geprek
{'average': 4.7, 'total': 0};Ichiban Sushi, Hartono Mall;Ichiban Sushi
{'average': 4.6, 'total': 0};Ayam Goreng Rempah Banget Hj. Toyib, Karang Gayam, Depok;Ayam Goreng Hj Toyib
{'average': 4.7, 'total': 0};McDonald's, Sudirman Jogja;McDonald's
{'average': 4.8, 'total': 0};HokBen, Pakuwon Mall Yogyakarta;HokBen
{'average': 4.8, 'total': 0};Kedai Diajeng, Gejayan;Kedai Diajeng Yogyakarta
{'average': 4.8, 'total': 0};Bakmi 99 Seafood Minomartani;Bakmi 99 Seafood Minomartani, Arif Musodik
{'average': 4.7, 'total': 0};Rumah Makan Padang Raya, Kaliurang KM 12;Roti Bakar Prima Rasa Jakal KM 8
{'average': 4.7, 'total': 0};Rujak Es Krim Lotis Mas Is, Gurameh Raya;Rujak Es Krim Lotis Mas Is 2, Risniati
{'average': 4.7, 'total': 0};Hikmah Seblak & Batagor, Sidoarum;Hikmah Seblak & Batagor, Ngestiharjo, Wagiran
{'average': 4.6, 'total': 0};Waroeng Spesial Sambal SS, Jakal KM. 12;Waroeng Spesial Sambal (SS)
{'average': 4.3, 'total': 0};Kalis Donuts & Coffee, Sagan;Kalis Donuts
{'average': 4.6, 'total': 0};JCO, Reserve Pakuwon Mall Jogja;JCO Reserve
{'average': 4.8, 'total': 0};TOUS les JOURS, Pakuwon Mall Jogja;Tous Les Jours
{'average': 4.6, 'total': 0};Cak No Chinese Food, Jogoyudan;Cak No Chinese Food
{'average': 4.5, 'total': 0};Golden Lamian, Pakuwon Mall Jogja;Golden Lamian
{'average': 4.7, 'total': 0};Ayam Geprek Bu Mardi/Mbak Jeje, Yogyakarta;Ayam Penyet Bu Mardi Jogja
{'average': 4.7, 'total': 0};Pizza Hut, Sudirman;Pizza Hut
{'average': 4.7, 'total': 0};Marugame Udon, Pakuwon Mall Yogyakarta;Marugame Udon & Tempura
{'average': 4.8, 'total': 0};Yoshinoya Beef Bowl, Pakuwon Mall Jogja;YOSHINOYA
{'average': 4.7, 'total': 0};Bubur Ayam Bandung dan Lontong Opor Ayam, Depok Sleman;Bubur Ayam Bandung Bangkit, Minomartani
{'average': 4.7, 'total': 0};Bakpia Mutiara Jogja, Timur Hartono Mall;Bakpia Mutiara Solo
{'average': 4.6, 'total': 0};Bakso Mie Ayam Pak Di, Samirono;Bakso Mie Ayam Pa Di, Ahmad Samsudin
{'average': 4.7, 'total': 0};Ayam Geprek Gacor, Soragan;Ayam Geprek Gacor, ADITYA HAYU PRABOWO
{'average': 4.8, 'total': 0};Olive Fried Chicken, Gejayan;Olive Fried Chicken
{'average': 4.4, 'total': 0};Ayam Geprek Gemma;Ayam Geprek Gemma, Siti Fatonah
{'average': 4.6, 'total': 0};Ayam Geprek Penyetan Tugu Jogja, Sitisewu;Ayam Geprek Penyetan Tugu Jogja
{'average': 4.5, 'total': 0};Mooi Donat, Affandi;Mooi Donat
{'average': 4.5, 'total': 0};Mister Burger, Holland;Mister Burger - PT MISTER BURGER KAWAN SEJAHTERA INDONESIA
{'average': 4.7, 'total': 0};Olive Fried Chicken, Mangkubumi;Olive Fried Chicken
{'average': 4.8, 'total': 0};Solaria, Hartono Mall Yogya;Solaria
{'average': 4.7, 'total': 0};Burjo Motekar 15, Candi Karang;Burjo Motekar
{'average': 4.8, 'total': 0};Kimukatsu, Hartono Mall;Kimukatsu
{'average': 4.8, 'total': 0};Shihlin Taiwan Street Snacks, Pakuwon Mall Jogja;Shihlin Taiwan Street Snacks
{'average': 4.7, 'total': 0};Ayam Bakar Taliwang Papin, Prof Dr Yohanes;Ayam Bakar Taliwang Papin
{'average': 4.8, 'total': 0};Makaroni Ngehe, Charlie Affandi;Makaroni Ngehe General
{'average': 4.5, 'total': 0};Its Bobatime, Caturtunggal;The Bobatime, Joyoboyo
{'average': 4.8, 'total': 0};Sop Gareng (Sop Iga Goreng), HOS Cokroaminoto;Sop Gareng (Sop Iga Goreng)
{'average': 4.6, 'total': 0};Padang Murah Geejayan;Masakan Padang Murah Affandi , Tedi Subastian
{'average': 4.7, 'total': 0};Sate Kambing Muda Sedan Turi, Sleman;Sate Kambing Muda Sedan Turi Sleman
{'average': 4.4, 'total': 0};Nasi Goreng Surabaya Cak Salam, Kp. Jogoyudan Raya;Nasi Goreng Surabaya Cak Salam, Robiatul Adamiyah
{'average': 4.7, 'total': 0};Ayam Kremes BU DWI, Afandi;Ayam Kremes dan Pecel Kremes Bu Dwi
{'average': 4.8, 'total': 0};Siomay Mirza, Jembatan Merah;Siomay Mirza
{'average': 4.8, 'total': 0};BRIcafe X Couvee, Sagan;BRIcafe X Couvee
{'average': 4.8, 'total': 0};Chatime, Gramedia Sudirman Jogja;Chatime
{'average': 4.4, 'total': 0};Oma Opa Cakery, Depok;Oma Opa Cakery
{'average': 4.5, 'total': 0};Mr. Kimbab & Bulgogi Ricebowl, Obento;Obento Kimbab & Bulgogi Ricebowl, Hario Persada Putra
{'average': 4.7, 'total': 0};Lotek & Gado - Gado Bu Bagyo, Sagan;Lotek & Gado - Gado Bu Bagyo
{'average': 4.7, 'total': 0};Olive Fried Chicken, Jlagran;Olive Fried Chicken
{'average': 4.7, 'total': 0};Ngikan, Jakal KM 12 Jogja;Ngikan General
{'average': 4.7, 'total': 0};Kindai, Jembatan Merah;Kindai, Yogyakarta
{'average': 4.6, 'total': 0};Kopi Susu & Seblak Capcuzz, Pandanaran;Capcuzz
{'average': 4.8, 'total': 0};Kopi Janji Jiwa & Jiwa Toast, Suroto Yogyakarta;Kopi Janji Jiwa
{'average': 4.5, 'total': 0};Burjo Motekar 16, Ngaglik;Burjo Motekar
{'average': 4.8, 'total': 0};NEW SEAFOOD 99 BAKAR & GORENG, Kec.ngaglik,sardonoharjo;NEW SEAFOOD 99 BAKAR & GORENG, Kec.ngaglik,sardonoharjo, Eko Teguh Kurniawan
{'average': 4.7, 'total': 0};Waroeng Spesial Sambal SS, Samirono;Waroeng Spesial Sambal (SS)
{'average': 4.7, 'total': 0};Bakso Pajero, Colombo;Mie Ayam Balungan Pak Mojo, Colombo
